"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","RICE PRODUCTION (1000 tons)","RICE YIELD (Kg per ha)","WHEAT AREA (1000 ha)","WHEAT PRODUCTION (1000 tons)","WHEAT YIELD (Kg per ha)","MAIZE AREA (1000 ha)","MAIZE PRODUCTION (1000 tons)","MAIZE YIELD (Kg per ha)","CHICKPEA AREA (1000 ha)","CHICKPEA PRODUCTION (1000 tons)","CHICKPEA YIELD (Kg per ha)","MINOR PULSES AREA (1000 ha)","MINOR PULSES PRODUCTION (1000 tons)","MINOR PULSES YIELD (Kg per ha)","OILSEEDS AREA (1000 ha)","OILSEEDS PRODUCTION (1000 tons)","OILSEEDS YIELD (Kg per ha)","COTTON AREA (1000 ha)","COTTON PRODUCTION (1000 tons)","COTTON YIELD (Kg per ha)","FRUITS AND VEGETABLES AREA (1000 ha)"
"1","2006","14","Chhattisgarh","Durg","781.7","1177.1","1505.81","36.81","26.62","723.16","5.28","5.03","953.14","170.6","123.47","723.74","234.58","127.67","544.25","88.02","49.86","566.49","0.19","0.05","263.16","31.47"
"1","2007","14","Chhattisgarh","Durg","799.89","1095.84","1369.98","37.32","34.38","921.03","3.3","3.82","1157.23","143.2","130.29","909.8","225.92","404.31","1789.63","96.56","82.96","859.2","0.04","0.01","250.0","32.68"
"1","2008","14","Chhattisgarh","Durg","803.37","704.09","876.42","36.46","31.19","855.47","3.4","3.35","984.92","131.94","113.04","856.71","188.25","149.66","795.01","94.77","73.18","772.2","0.01","0.01","1000.0","33.85"
"1","2009","14","Chhattisgarh","Durg","789.04","622.05","788.37","42.44","38.12","898.09","3.25","3.4","1045.97","147.22","130.06","883.44","155.28","67.34","433.68","94.84","72.74","767.05","0.01","0.0","0.0","32.94"
"1","2010","14","Chhattisgarh","Durg","777.92","1319.18","1695.77","46.12","45.87","994.69","3.17","4.63","1457.32","184.26","174.84","948.89","180.24","91.25","506.28","114.35","112.83","986.66","0.0","0.0","0.0","34.3"
"1","2011","14","Chhattisgarh","Durg","806.55","1416.48","1756.23","44.98","50.19","1115.68","3.63","4.67","1285.56","196.27","197.94","1008.49","72.71","32.84","451.66","106.25","78.18","735.8","0.08","0.02","250.0","0.0"
"1","2012","14","Chhattisgarh","Durg","807.07","1534.22","1900.97","43.87","47.69","1087.1","3.12","4.8","1538.56","208.6","235.92","1130.97","160.54","60.53","377.05","104.27","109.66","1051.69","0.13","0.02","153.85","35.69"
"1","2013","14","Chhattisgarh","Durg","819.44","1296.24","1581.86","41.54","43.33","1043.06","3.64","6.34","1742.2","229.99","173.91","756.19","142.9","56.73","397.0","108.22","99.31","917.64","0.05","0.01","200.0","34.74"
"1","2014","14","Chhattisgarh","Durg","834.87","1444.24","1729.89","44.25","50.96","1151.49","4.02","5.84","1451.66","228.75","241.58","1056.09","144.21","97.92","679.02","99.93","46.2","462.3","0.05","0.02","400.0","0.0"
"1","2015","14","Chhattisgarh","Durg","817.68","880.6","1076.95","48.72","54.6","1120.74","9.87","14.47","1467.17","220.27","166.24","754.73","121.23","47.02","387.89","113.88","37.19","326.61","0.05","0.01","200.0","0.0"
"2","2006","14","Chhattisgarh","Bastar","546.54","836.54","1530.61","1.92","3.2","1666.67","31.15","41.19","1322.31","1.47","1.07","727.89","47.91","18.73","390.94","28.87","7.0","242.47","0.0","0.0","0.0","13.87"
"2","2007","14","Chhattisgarh","Bastar","626.07","927.73","1481.83","1.68","3.31","1970.24","32.66","59.39","1818.43","1.53","1.42","928.1","34.04","13.74","403.64","11.56","4.9","423.88","0.0","0.0","0.0","14.43"
"2","2008","14","Chhattisgarh","Bastar","627.78","729.33","1161.76","1.71","2.6","1520.47","33.41","53.87","1612.39","1.46","1.08","739.73","31.66","9.68","305.75","10.82","3.73","344.73","0.0","0.0","0.0","14.74"
