"Dist Code","Year","State Code","State Name","Dist Name","TOTAL AREA (1000 ha)","FOREST AREA (1000 ha)","BARREN AND UNCULTIVABLE LAND AREA (1000 ha)","LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha)","CULTIVABLE WASTE LAND AREA (1000 ha)","PERMANENT PASTURES AREA (1000 ha)","OTHER FALLOW AREA (1000 ha)","CURRENT FALLOW AREA (1000 ha)","NET CROPPED AREA (1000 ha)","GROSS CROPPED AREA (1000 ha)","CROPING INTENSITY (Percent)"
"1","2005","14","Chhattisgarh","Durg","1988.17","493.48","39.88","145.34","45.66","135.77","44.1","39.94","1043.71","1437.08","137.69"
"1","2006","14","Chhattisgarh","Durg","1988.17","493.4","38.8","146.83","45.55","136.56","43.96","40.81","1041.95","1435.76","137.8"
"1","2007","14","Chhattisgarh","Durg","1988.17","493.4","38.72","148.54","47.51","135.46","43.89","40.16","1040.2","1446.62","139.07"
"1","2008","14","Chhattisgarh","Durg","1988.17","493.22","36.2","151.43","47.55","136.47","45.47","43.89","1033.64","1393.09","134.78"
"1","2009","14","Chhattisgarh","Durg","1988.17","492.88","37.2","151.18","48.54","136.93","47.31","44.98","1028.77","1363.03","132.49"
"1","2010","14","Chhattisgarh","Durg","1988.17","493.36","38.29","150.17","50.77","136.03","50.05","40.42","1028.6","1405.63","136.65"
"1","2011","14","Chhattisgarh","Durg","1988.17","493.3","37.58","151.32","50.33","135.62","47.15","41.93","1030.41","1409.94","136.83"
"1","2012","14","Chhattisgarh","Durg","1988.17","493.28","35.36","153.7","50.47","137.65","47.44","40.82","1029.07","1415.98","137.6"
"1","2013","14","Chhattisgarh","Durg","1639.34","142.45","34.94","153.26","52.36","137.99","46.51","40.78","1030.52","1431.3","138.89"
"1","2014","14","Chhattisgarh","Durg","1640.28","143.14","34.74","155.01","53.55","137.47","48.37","41.44","1026.15","1438.76","140.21"
"1","2015","14","Chhattisgarh","Durg","1640.28","143.12","35.15","155.51","53.48","137.15","47.19","38.36","1030.0","1438.03","139.61"
"1","2016","14","Chhattisgarh","Durg","1988.17","490.92","34.18","155.71","52.76","137.37","44.02","34.67","1038.21","1467.94","141.39"
"2","2005","14","Chhattisgarh","Bastar","3905.75","2411.79","121.07","92.95","193.8","128.04","51.32","58.9","846.86","876.18","103.46"
"2","2006","14","Chhattisgarh","Bastar","3905.76","2414.25","122.28","92.67","206.19","128.63","53.91","83.85","869.8","901.94","103.7"
"2","2007","14","Chhattisgarh","Bastar","3905.76","2413.2","120.83","92.98","198.35","129.32","70.18","62.4","818.82","850.55","103.88"
"2","2008","14","Chhattisgarh","Bastar","3905.76","2413.49","120.65","92.46","202.68","125.82","68.63","62.39","819.63","850.65","103.78"
"2","2009","14","Chhattisgarh","Bastar","3905.76","2415.25","120.54","94.45","200.44","126.67","65.98","64.83","817.61","847.84","103.7"
"2","2010","14","Chhattisgarh","Bastar","3905.76","2400.38","115.71","102.9","202.2","124.87","61.58","61.22","836.85","869.33","103.88"
"2","2011","14","Chhattisgarh","Bastar","3905.76","2415.68","102.36","114.71","199.69","130.66","62.44","66.72","813.45","844.83","103.86"
"2","2012","14","Chhattisgarh","Bastar","3905.76","2416.07","102.49","113.92","203.7","127.84","60.6","62.98","818.08","850.17","103.92"
"2","2013","14","Chhattisgarh","Bastar","2350.0","858.45","102.29","113.63","190.88","142.91","59.74","61.58","820.48","853.63","104.04"
"2","2014","14","Chhattisgarh","Bastar","2357.91","859.21","102.26","115.54","192.87","144.12","62.6","58.89","822.42","856.61","104.16"
"2","2015","14","Chhattisgarh","Bastar","2357.91","855.79","101.63","116.38","203.32","142.24","58.97","67.78","811.81","844.52","104.03"
"2","2016","14","Chhattisgarh","Bastar","3905.75","2400.88","101.63","118.65","195.62","148.46","60.16","63.1","817.24","849.21","103.91"
