"Dist Code","Year","State Code","State Name","Dist Name","JANUARY RAINFALL (Millimeters)","FEBRUARY RAINFALL (Millimeters)","MARCH RAINFALL (Millimeters)","APRIL RAINFALL (Millimeters)","MAY RAINFALL (Millimeters)","JUNE RAINFALL (Millimeters)","JULY RAINFALL (Millimeters)","AUGUST RAINFALL (Millimeters)","SEPTEMBER RAINFALL (Millimeters)","OCTOBER RAINFALL (Millimeters)","NOVEMBER RAINFALL (Millimeters)","DECEMBER RAINFALL (Millimeters)"
"1","2002","14","Chhattisgarh","Durg","-1.0","-1.0","-1.0","-1.0","-1.0","183.6","107.0","328.7","113.1","50.0","-1.0","-1.0"
"1","2004","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.0","0.0","291.8","306.4","300.5","85.9","13.3","0.0","0.0"
"1","2005","14","Chhattisgarh","Durg","3.5","6.2","29.3","98.2","326.0","236.4","353.5","48.2","0.0","2.6","0.0","0.0"
"1","2006","14","Chhattisgarh","Durg","0.0","0.0","26.8","18.2","44.8","27.4","251.7","392.6","120.5","4.4","0.0","0.0"
"1","2007","14","Chhattisgarh","Durg","0.0","5.8","1.8","0.0","0.0","229.6","298.4","328.8","202.1","2.0","0.0","0.0"
"1","2008","14","Chhattisgarh","Durg","0.0","0.0","6.8","0.0","0.0","240.0","138.3","287.9","231.8","0.0","0.0","0.0"
"1","2009","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.0","0.0","21.5","405.2","213.0","51.8","4.2","0.0","0.0"
"1","2010","14","Chhattisgarh","Durg","6.2","0.0","0.0","0.0","7.7","146.4","391.3","276.6","279.8","11.1","18.2","12.4"
"1","2011","14","Chhattisgarh","Durg","0.0","6.0","0.0","54.1","27.7","251.5","319.7","350.5","251.1","21.7","0.0","0.0"
"1","2012","14","Chhattisgarh","Durg","41.2","0.0","0.0","26.4","0.0","119.1","348.9","342.6","198.7","5.0","9.0","1.2"
"1","2013","14","Chhattisgarh","Durg","0.5","13.1","1.9","13.7","1.6","262.3","586.9","328.1","182.8","177.1","0.0","0.0"
"1","2014","14","Chhattisgarh","Durg","0.0","46.6","27.6","10.4","57.4","96.9","501.6","279.2","255.7","104.3","0.0","0.0"
"1","2015","14","Chhattisgarh","Durg","14.6","0.0","39.6","58.2","7.8","201.8","186.4","250.7","249.3","0.3","0.0","0.0"
"2","2002","14","Chhattisgarh","Bastar","-1.0","-1.0","-1.0","-1.0","-1.0","159.9","222.0","377.3","133.9","31.6","-1.0","-1.0"
"2","2004","14","Chhattisgarh","Bastar","55.5","11.5","1.7","33.9","52.2","331.7","389.7","322.4","322.5","120.3","2.8","0.0"
"2","2005","14","Chhattisgarh","Bastar","21.8","21.6","3.6","25.9","89.2","165.2","261.7","252.9","344.8","229.2","3.2","0.0"
"2","2006","14","Chhattisgarh","Bastar","0.0","0.0","43.7","132.0","90.0","127.3","491.0","422.0","309.3","1.6","92.9","0.0"
"2","2007","14","Chhattisgarh","Bastar","0.0","15.3","0.0","13.5","68.6","337.0","195.9","377.4","157.7","93.8","0.0","0.0"
"2","2008","14","Chhattisgarh","Bastar","10.0","18.2","135.5","17.7","40.3","183.9","360.2","380.5","239.5","11.8","0.7","0.0"
"2","2009","14","Chhattisgarh","Bastar","0.0","0.0","0.0","0.0","41.9","87.6","446.9","315.5","113.0","26.0","0.0","0.0"
"2","2010","14","Chhattisgarh","Bastar","6.1","3.1","10.1","36.0","38.2","133.1","422.7","436.8","320.1","151.5","35.4","30.1"
"2","2011","14","Chhattisgarh","Bastar","0.0","29.1","0.0","50.4","86.4","120.4","241.5","292.3","328.3","12.0","0.0","0.1"
"2","2012","14","Chhattisgarh","Bastar","31.1","0.0","1.2","68.5","44.3","123.5","406.8","451.0","366.8","29.6","19.8","0.0"
"2","2013","14","Chhattisgarh","Bastar","0.0","14.9","0.0","90.7","32.3","433.6","294.9","236.0","147.8","180.6","3.7","0.0"
"2","2014","14","Chhattisgarh","Bastar","0.0","0.0","30.9","43.9","62.4","129.3","388.8","340.2","379.4","100.7","1.0","0.0"
"2","2015","14","Chhattisgarh","Bastar","2.4","2.6","26.2","73.8","49.5","411.9","149.8","406.8","381.7","22.7","0.2","10.9"
"3","2002","14","Chhattisgarh","Raipur","-1.0","-1.0","-1.0","-1.0","-1.0","167.5","89.8","300.0","154.1","14.2","-1.0","-1.0"
"3","2004","14","Chhattisgarh","Raipur","36.7","32.4","10.9","11.7","24.0","217.3","341.5","143.0","86.6","35.1","0.0","0.0"
"3","2005","14","Chhattisgarh","Raipur","68.6","25.0","0.9","2.4","25.9","155.9","493.5","255.3","229.3","91.2","0.0","0.0"
"3","2006","14","Chhattisgarh","Raipur","0.0","0.0","35.6","31.2","72.0","59.6","384.5","430.5","177.5","14.4","1.4","0.0"
"3","2007","14","Chhattisgarh","Raipur","0.0","19.5","0.2","0.2","4.1","525.2","320.1","284.6","238.0","28.3","14.0","0.0"
"3","2008","14","Chhattisgarh","Raipur","6.5","10.1","2.6","1.0","5.8","262.8","233.1","279.5","289.7","23.4","0.0","0.0"
